trip_duration_days,miles_traveled,total_receipts_amount,miles_per_day,receipts_per_day,log_receipts,sqrt_miles,is_5day,is_long_trip,is_sweet_spot,is_receipts_over_800,is_receipts_under_50,is_rpd_under_20,is_efficient_miles,is_modest_short,is_modest_med,is_modest_long,is_vacation_penalty,is_miles_tier1,is_miles_tier2,is_cents_49,is_cents_99,days_x_miles,days_x_receipts,miles_x_receipts,miles_sq,receipts_sq,expected_output
2,21.0,20.04,10.499994750002624,10.019994990002504,3.046425387869509,4.58257569495584,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,42.0,40.08,420.84,441.0,401.60159999999996,204.58
3,177.0,18.73,58.999980333339884,6.243331252222916,2.982140320034524,13.30413469565007,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,531.0,56.19,3315.21,31329.0,350.8129,430.86
1,141.0,10.15,140.99985900014102,10.14998985001015,2.411439497906128,11.874342087037917,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,141.0,10.15,1431.15,19881.0,103.02250000000001,195.14
1,58.0,5.86,57.999942000058006,5.859994140005861,1.925707441737794,7.615773105863909,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,58.0,5.86,339.88,3364.0,34.339600000000004,117.24
1,133.0,8.34,132.999867000133,8.33999166000834,2.234306252240751,11.532562594670797,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,133.0,8.34,1109.22,17689.0,69.5556,179.06
1,59.0,8.31,58.999941000059,8.309991690008312,2.231089091288976,7.681145747868608,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,59.0,8.31,490.29,3481.0,69.05610000000001,120.65
2,89.0,13.85,44.49997775001112,6.92499653750173,2.6979998652487085,9.433981132056603,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,178.0,27.7,1232.6499999999999,7921.0,191.8225,234.2
2,147.0,17.43,73.49996325001837,8.714995642502178,2.9139797716817317,12.12435565298214,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,294.0,34.86,2562.21,21609.0,303.8049,325.56
5,130.0,306.9,25.99999480000104,61.37998772400245,5.729775054930455,11.40175425099138,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,650.0,1534.5,39897.0,16900.0,94187.60999999999,574.1
5,173.0,1337.9,34.59999308000138,267.5799464840107,7.1996036603033335,13.152946437965905,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,865.0,6689.5,231456.7,29929.0,1789976.4100000001,1443.96
5,592.0,433.75,118.39997632000474,86.74998265000347,6.074771153234392,24.331050121192877,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2960.0,2168.75,256780.0,350464.0,188139.0625,869.0
5,679.0,476.08,135.79997284000544,95.2159809568038,6.167684191710468,26.057628441590765,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3395.0,2380.4,323258.32,461041.0,226652.1664,1030.41
5,708.0,1129.52,141.59997168000567,225.90395481920902,7.030432982848577,26.60826939130014,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3540.0,5647.6,799700.16,501264.0,1275815.4304,1654.62
5,261.0,464.94,52.19998956000209,92.98798140240372,6.144056870471156,16.15549442140351,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1305.0,2324.7,121349.34,68121.0,216169.2036,621.12
5,794.0,511.0,158.79996824000634,102.19997956000408,6.238324625039508,28.178005607210743,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3970.0,2555.0,405734.0,630436.0,261121.0,1139.94
5,521.0,1448.55,104.19997916000416,289.70994205801156,7.279008442420112,22.825424421026653,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2605.0,7242.75,754694.5499999999,271441.0,2098297.1025,1624.01
5,595.0,863.93,118.99997620000475,172.78596544280688,6.762648578801795,24.392621835300936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2975.0,4319.65,514038.35,354025.0,746375.0448999999,1231.67
5,811.0,952.39,162.19996756000648,190.4779619044076,6.860024053938709,28.478061731796284,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4055.0,4761.95,772388.29,657721.0,907046.7121,1608.6
5,477.0,704.42,95.39998092000381,140.88397182320563,6.558793370107705,21.840329667841555,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2385.0,3522.1,336008.33999999997,227529.0,496207.5363999999,1045.96
5,730.0,485.73,145.99997080000583,97.14598057080389,6.187709554553491,27.018512172212592,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3650.0,2428.65,354582.9,532900.0,235933.63290000003,991.49
5,262.0,1173.79,52.399989520002094,234.75795304840938,7.068844687201073,16.186414056238647,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1310.0,5868.95,307532.98,68644.0,1377782.9641,1485.59
5,446.0,219.98,89.19998216000357,43.995991200801754,5.3980721996850285,21.118712081942874,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2230.0,1099.8999999999999,98111.08,198916.0,48391.200399999994,788.62
5,751.0,407.43,150.199969960006,81.48598370280325,6.01232054098736,27.40437921208944,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3755.0,2037.15,305979.93,564001.0,165999.2049,1063.46
5,324.0,128.94,64.79998704000259,25.78799484240103,4.867072805452385,18.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1620.0,644.7,41776.56,104976.0,16625.5236,686.54
5,414.0,967.0,82.79998344000332,193.39996132000772,6.875232087276577,20.346989949375804,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2070.0,4835.0,400338.0,171396.0,935089.0,1368.94
5,367.0,290.78,73.39998532000294,58.15598836880232,5.676000093643749,19.157244060668017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1835.0,1453.8999999999999,106716.26,134689.0,84553.00839999998,742.25
5,764.0,848.75,152.7999694400061,169.74996605000678,6.744942188576226,27.640549922170507,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3820.0,4243.75,648445.0,583696.0,720376.5625,1468.46
5,249.0,873.75,49.799990040001994,174.74996505000698,6.773938131247798,15.7797338380595,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1245.0,4368.75,217563.75,62001.0,763439.0625,1185.24
8,862.0,1817.85,107.7499865312517,227.2312215960973,7.505959712226172,29.359836511806396,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6896.0,14542.8,1566986.7,743044.0,3304578.6224999996,1719.37
11,927.0,1994.33,84.27271961157095,181.30271079066267,7.598564729178488,30.44667469527666,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10197.0,21937.629999999997,1848743.91,859329.0,3977352.1489,1779.12
9,602.0,186.69,66.88888145679095,20.743331028518774,5.234791665668158,24.535688292770594,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5418.0,1680.21,112387.38,362404.0,34853.1561,1085.4
8,610.0,208.29,76.2499904687512,26.036246745469157,5.343720850001886,24.698178070456937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4880.0,1666.32,127056.9,372100.0,43384.7241,841.27
12,333.0,1103.21,27.749997687500194,91.93415900548676,7.006885426139311,18.24828759089466,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3996.0,13238.52,367368.93,110889.0,1217072.3041,1618.13
8,435.0,1129.65,54.374993203125854,141.20623234922098,7.030547967569003,20.85665361461421,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3480.0,9037.2,491397.75000000006,189225.0,1276109.1225000003,1525.26
9,218.0,1203.45,24.2222195308645,133.71665180926092,7.0937783101929055,14.7648230602334,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1962.0,10831.050000000001,262352.10000000003,47524.0,1448291.9025,1561.63
12,781.0,1159.18,65.08332790972268,96.5983252834729,7.05633044447621,27.94637722496424,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9372.0,13910.16,905319.5800000001,609961.0,1343698.2724000001,1752.72
11,916.0,1036.91,83.27271970248003,94.26453688504212,6.944964354764409,30.265491900843113,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10076.0,11406.01,949809.56,839056.0,1075182.3481,2098.07
10,358.0,2066.62,35.79999642000036,206.66197933380207,7.634153466325981,18.920887928424502,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3580.0,20666.199999999997,739849.96,128164.0,4270918.2244,1624.11
12,566.0,2013.7,47.16666273611144,167.80831934930674,7.608225579921863,23.790754506740637,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6792.0,24164.4,1139754.2,320356.0,4054987.6900000004,1752.03
9,954.0,1483.39,105.99998822222354,164.82109279765638,7.302759192435106,30.886890422961002,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8586.0,13350.51,1415154.06,910116.0,2200445.8921000003,2024.2
9,534.0,1929.94,59.33332674074148,214.4377539513607,7.565762209962342,23.108440016582687,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4806.0,17369.46,1030587.9600000001,285156.0,3724668.4036000003,1624.87
12,765.0,1343.97,63.74999468750045,111.99749066687579,7.204126986954469,27.65863337187866,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9180.0,16127.64,1028137.05,585225.0,1806255.3609,1953.03
8,630.0,967.69,78.74999015625124,120.96123487984566,6.875944643265605,25.099800796022265,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5040.0,7741.52,609644.7000000001,396900.0,936423.9361,1388.05
10,909.0,696.0,90.89999091000091,69.5999930400007,6.546785410760524,30.14962686336267,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9090.0,6960.0,632664.0,826281.0,484416.0,1505.19
10,223.0,745.89,22.299997770000225,74.58899254110075,6.61591791860021,14.933184523068078,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2230.0,7458.9,166333.47,49729.0,556351.8920999999,1037.45
8,467.0,1178.71,58.37499270312592,147.33873158265857,7.073023924543242,21.61018278497431,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3736.0,9429.68,550457.5700000001,218089.0,1389357.2641,1483.33
9,708.0,461.07,78.6666579259269,51.22999430777841,6.135716394755993,26.60826939130014,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6372.0,4149.63,326437.56,501264.0,212585.5449,1110.6
9,885.0,1764.97,98.33332240740863,196.10775598802712,7.4764553934771465,29.748949561287034,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7965.0,15884.73,1561998.45,783225.0,3115119.1009,1694.37
6,855.0,591.35,142.49997625000395,98.55831690694718,6.384097676400768,29.24038303442689,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5130.0,3548.1000000000004,505604.25,731025.0,349694.8225,1339.72
2,993.0,54.24,496.49975175012406,27.11998644000678,4.0116873285410914,31.51190251317746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1986.0,108.48,53860.32,986049.0,2941.9776,715.19
5,685.0,747.14,136.99997260000546,149.42797011440598,6.61759012623655,26.1725046566048,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3425.0,3735.7,511790.89999999997,469225.0,558218.1796,1216.36
3,981.0,341.45,326.9998910000363,113.81662872779042,5.836125661643914,31.32091952673165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943.0,1024.35,334962.45,962361.0,116588.1025,813.95
5,770.0,873.33,153.99996920000615,174.665965066807,6.773457878762979,27.748873851023216,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3850.0,4366.650000000001,672464.1,592900.0,762705.2889,1502.49
6,697.0,651.64,116.16664730555878,108.60664856555857,6.481025675569248,26.40075756488817,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4182.0,3909.84,454193.08,485809.0,424634.6896,1237.71
3,795.0,450.85,264.9999116666961,150.2832832389056,6.113350266347965,28.19574435974337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2385.0,1352.5500000000002,358425.75,632025.0,203265.72250000003,743.94
3,606.0,1184.23,201.9999326666891,394.7432017522661,7.07769212756266,24.61706725018234,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1818.0,3552.69,717643.38,367236.0,1402400.6929000001,1364.54
3,842.0,865.37,280.66657311114227,288.4565705144765,6.764312069048505,29.017236257093817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2526.0,2596.11,728641.54,708964.0,748865.2369,1251.14
7,748.0,241.73,106.85712759183892,34.53285220959254,5.491949714487858,27.349588662354687,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5236.0,1692.11,180814.03999999998,559504.0,58433.39289999999,971.31
7,624.0,148.16,89.14284440816509,21.16571126204125,5.00501955531062,24.979991993593593,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4368.0,1037.12,92451.84,389376.0,21951.385599999998,905.79
2,713.0,740.33,356.4998217500891,370.16481491759254,6.608445870289377,26.70205984563738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1426.0,1480.66,527855.29,508369.0,548088.5089,1048.28
3,874.0,1191.4,291.3332362222546,397.1332009555997,7.083723361803917,29.563490998188964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2622.0,3574.2000000000003,1041283.6000000001,763876.0,1419433.9600000002,1515.99
6,761.0,530.19,126.83331219444797,88.36498527250247,6.275119772683821,27.586228448267445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4566.0,3181.1400000000003,403474.59,579121.0,281101.43610000005,1120.1
1,815.0,97.89,814.999185000815,97.88990211009789,4.5940081212819,28.548204847240395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.0,97.89,79780.35,664225.0,9582.4521,539.36
1,601.0,497.7,600.9993990006011,497.6995023004977,6.212004712552077,24.515301344262525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.0,497.7,299117.7,361201.0,247705.28999999998,644.12
7,817.0,1127.87,116.7142690408187,161.1242626965339,7.028972411372803,28.583211855912904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5719.0,7895.089999999999,921469.7899999999,667489.0,1272090.7368999997,1809.91
1,606.0,923.0,605.999394000606,922.9990770009231,6.828712071641684,24.61706725018234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,606.0,923.0,559338.0,367236.0,851929.0,1050.05
1,909.0,741.82,908.9990910009091,741.8192581807419,6.610453754264164,30.14962686336267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,909.0,741.82,674314.38,826281.0,550296.9124,866.07
3,624.0,1160.92,207.99993066668978,386.9732043422652,7.057829088225971,24.979991993593593,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1872.0,3482.76,724414.0800000001,389376.0,1347735.2464,1459.34
4,650.0,619.49,162.49995937501015,154.87246128188468,6.430509488479342,25.495097567963924,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2600.0,2477.96,402668.5,422500.0,383767.8601,676.38
6,204.0,818.99,33.99999433333428,136.4983105836149,6.709292145061987,14.2828568570857,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1224.0,4913.9400000000005,167073.96,41616.0,670744.6201000001,628.4
1,263.0,396.49,262.999737000263,396.48960351039653,5.985169776545233,16.217274740226856,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,263.0,396.49,104276.87,69169.0,157204.3201,198.42
1,451.0,555.49,450.99954900045105,555.4894445105556,6.321649201102216,21.236760581595302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,451.0,555.49,250525.99,203401.0,308569.1401,162.18
10,424.0,474.99,42.39999576000043,47.49899525010048,6.165396845607379,20.591260281974,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4240.0,4749.9,201395.76,179776.0,225615.5001,831.96
2,565.0,389.49,282.4998587500706,194.74490262754867,5.967402360757223,23.769728648009426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1130.0,778.98,220061.85,319225.0,151702.4601,415.96
9,397.0,348.49,44.11110620987709,38.72110680876592,5.856474948961234,19.924858845171276,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3573.0,3136.41,138350.53,157609.0,121445.2801,913.29
1,532.0,413.99,531.999468000532,413.98958601041403,6.028254423554833,23.065125189341593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,532.0,413.99,220242.68,283024.0,171387.7201,355.57
2,384.0,495.49,191.999904000048,247.74487612756192,6.207563342295487,19.595917942265423,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,768.0,990.98,190268.16,147456.0,245510.3401,290.36
5,754.0,489.99,150.799969840006,97.99798040040392,6.196423760988341,27.459060435491963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3770.0,2449.95,369452.46,568516.0,240090.20010000002,765.13
1,344.46,813.85,344.45965554034444,813.8491861508139,6.703004047221998,18.55963361707337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344.46,813.85,280338.771,118652.69159999999,662351.8225,707.88
3,906.3,540.03,302.09989930003354,180.00993999668665,6.2934747301740925,30.104816890325043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718.8999999999996,1620.09,489429.18899999995,821379.69,291632.40089999995,848.42
3,1007.56,187.52,335.8532213822595,62.50664583111806,5.23920410205553,31.742085627759245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3022.68,562.5600000000001,188937.6512,1015177.1535999998,35163.750400000004,764.64
1,359.62,221.15,359.61964038035967,221.14977885022117,5.403352829381918,18.963649437806005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.62,221.15,79529.963,129326.5444,48907.3225,255.57
1,362.79,749.19,362.78963721036286,749.1892508107493,6.620326507780219,19.04704701521997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362.79,749.19,271798.6401,131616.5841,561285.6561000001,636.51
1,288.72,159.26,288.7197112802888,159.25984074015926,5.076797496349925,16.991762710207556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,288.72,159.26,45981.5472,83359.23840000002,25363.7476,303.94
2,782.17,830.72,391.0848044575977,415.35979232010385,6.723495845717894,27.967302336836134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1564.34,1661.44,649764.2624,611789.9088999999,690095.7184,1165.44
2,623.18,347.54,311.58984420507784,173.76991311504344,5.853753001232496,24.9635734621468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.36,695.08,216579.9772,388353.31239999994,120784.05160000002,625.15
3,1061.15,388.5,353.7165487611504,129.4999568333477,5.964863865310803,32.575297389279505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3183.4500000000003,1165.5,412256.775,1126039.3225000002,150932.25,693.36
1,252.75,285.5,252.74974725025277,285.4997145002855,5.6577385361547945,15.898113095584646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,252.75,285.5,72160.125,63882.5625,81510.25,331.74
3,1020.39,250.62,340.1298866233711,83.53997215334262,5.527920012922985,31.943543948660423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061.17,751.86,255730.1418,1041195.7520999999,62810.3844,779.08
1,257.97,816.81,257.96974203025803,816.8091831908168,6.706630035784371,16.061444517850816,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,257.97,816.81,210712.4757,66548.52090000002,667178.5761,738.01
3,1025.03,592.55,341.6765527744824,197.5166008277997,6.386121456499543,32.016089705021756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075.09,1777.6499999999999,607381.5264999999,1050686.5008999999,351115.50249999994,992.4
2,794.32,402.31,397.1598014200993,201.15489942255027,5.99970549700956,28.183683222744328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.64,804.62,319562.8792,630944.2624000001,161853.33610000001,671.06
1,276.85,485.54,276.8497231502769,485.5395144604856,6.187319118184521,16.638810053606598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,276.85,485.54,134421.749,76645.92250000002,235749.0916,361.66
2,851.68,473.96,425.8397870801064,236.97988151005922,6.16323058996242,29.183557014181805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703.36,947.92,403662.25279999996,725358.8224,224638.08159999998,650.68
3,859.12,611.07,286.37323787558734,203.68993210335597,6.416846655056505,29.31074888159632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2577.36,1833.21,524982.4584,738087.1744,373406.54490000004,960.47
3,1317.07,476.87,439.02318699227095,158.95661368112877,6.169338728974656,36.291459050305484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951.21,1430.6100000000001,628071.1709,1734673.3849,227404.9969,787.42
1,388.1,827.37,388.09961190038814,827.3691726308274,6.719459914476488,19.700253805471643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,388.1,827.37,321102.297,150621.61000000002,684541.1169,741.46
1,264.39,758.27,264.3897356102644,758.2692417307583,6.632357445363575,16.260073800570524,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,264.39,758.27,200479.0053,69902.07209999999,574973.3929,636.19
5,198.21,594.83,39.641992071601585,118.96597620680477,6.38995539147881,14.078707327024027,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,991.0500000000001,2974.15,117901.25430000002,39287.2041,353822.72890000005,807.48
6,72.85,457.75,12.141664643055892,76.29165395139101,6.12850539936878,8.535221145348256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,437.09999999999997,2746.5,33347.087499999994,5307.1224999999995,209535.0625,666.59
8,297.64,481.09,37.20499534937559,60.13624248296969,6.17813081861192,17.252246230563717,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2381.12,3848.72,143191.62759999998,88589.56959999999,231447.58809999996,835.08
7,237.33,1262.27,33.90428087081702,180.32425995367714,7.141458876225594,15.40551849176132,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1661.3100000000002,8835.89,299574.5391,56325.528900000005,1593325.5529,1452.17
5,195.73,1228.49,39.14599217080156,245.69795086040983,7.114354728235615,13.990353819685906,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,978.65,6142.45,240452.34769999998,38310.232899999995,1509187.6801,511.23
8,276.28,1179.9,34.53499568312554,147.48748156406484,7.074032138607236,16.62167259935052,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2210.24,9439.2,325982.772,76330.63839999998,1392164.0100000002,1522.6
8,302.24,1046.04,37.779995277500596,130.75498365562706,6.953722414534273,17.385051049680584,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2417.92,8368.32,316155.1296,91349.0176,1094199.6816,1353.77
8,266.87,252.08,33.35874583015678,31.509996061250497,5.533705644278683,16.336156218645804,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2134.96,2016.64,67272.5896,71219.5969,63544.326400000005,880.41
9,310.69,239.64,34.52110727543253,26.626663708148477,5.483302040761475,17.626400653565096,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2796.21,2156.7599999999998,74453.75159999999,96528.2761,57427.32959999999,828.16
6,222.08,709.07,37.01332716444547,118.17831363694773,6.565363556724829,14.902348808157727,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1332.48,4254.42,157470.2656,49319.5264,502780.26490000007,1031.34
8,264.94,720.67,33.11749586031302,90.08373873953266,6.581567970695458,16.276977606423127,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2119.52,5765.36,190934.3098,70193.2036,519365.24889999995,1019.85
8,161.15,1230.37,20.143747482031568,153.79623077547114,7.115882649666127,12.694486992391619,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1289.2,9842.96,198274.1255,25969.322500000002,1513810.3368999998,1499.24
9,259.96,554.74,28.884441235062084,61.63777092913657,6.320300558980213,16.123275101541868,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2339.64,4992.66,144210.21039999998,67579.20159999999,307736.46760000003,835.54
9,97.85,518.56,10.872221014197665,57.61777137580318,6.252982299539083,9.891915891272024,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,880.65,4667.039999999999,50741.09599999999,9574.6225,268904.47359999997,850.57
9,194.34,1054.93,21.59333093407434,117.21443142061875,6.9621771741902805,13.940588222883568,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1749.06,9494.37,205015.09620000003,37768.0356,1112877.3049,1374.9
9,332.35,374.61,36.92777367469182,41.62332870851904,5.928551371047852,18.230469001098136,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2991.15,3371.4900000000002,124501.63350000001,110456.52250000002,140332.6521,830.45
5,126.44,696.14,25.28799494240101,139.22797215440556,6.546986251422825,11.244554237496478,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,632.2,3480.7,88019.94159999999,15987.0736,484610.8996,845.35
5,66.13,848.03,13.225997354800528,169.60596607880677,6.744094521376103,8.13203541556479,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,330.65,4240.15,56080.2239,4373.1768999999995,719154.8809,1050.25
