trip_duration_days,miles_traveled,total_receipts_amount,miles_per_day,spend_per_day,spend_per_mile,expected_output
1,458,834.7,458,834.7,1.82,737.28
11,772,932.31,70.18,84.76,1.21,1575.52
11,36,1541.47,3.27,140.13,42.82,1593.24
12,211,1048.29,17.58,87.36,4.97,1579.73
7,987,2164.1,141,309.16,2.19,1839.67
9,662,2275.59,73.56,252.84,3.44,1599.27
12,96,1164.37,8,97.03,12.13,1553.21
5,569,1856.7,113.8,371.34,3.26,1623.81
12,128,477.17,10.67,39.76,3.73,874.99
4,886,2401.28,221.5,600.32,2.71,1698
13,19,807.27,1.46,62.1,42.49,1331.53
8,275,2347.09,34.38,293.39,8.53,1454.47
9,963,588.5,107,65.39,0.61,1434.42
14,1056,2489.69,75.43,177.84,2.36,1894.16
5,728,423.16,145.6,84.63,0.58,947.72
4,286,1063.49,71.5,265.87,3.72,418.17
11,332,1352.48,30.18,122.95,4.07,1663.39
12,49,1118.38,4.08,93.2,22.82,1494.81
2,18,2503.46,9,1251.73,139.08,1206.95
14,592,1268.36,42.29,90.6,2.14,1930.24
3,892,171.32,297.33,57.11,0.19,875.39
11,741,1872.39,67.36,170.22,2.53,1847.08
14,807,2358.41,57.64,168.46,2.92,1819.41
5,873,1584.53,174.6,316.91,1.82,1796.7
3,1159,2209.44,386.33,736.48,1.91,1434.84
11,920,1338.65,83.64,121.7,1.46,1871.27
1,388,390.7,388,390.7,1.01,332.06
9,576,1059.79,64,117.75,1.84,1547.5
9,524,2367.12,58.22,263.01,4.52,1640.78
10,459,2183.11,45.9,218.31,4.76,1559.59
4,725,588.9,181.25,147.23,0.81,1097.95
1,992,958.87,992,958.87,0.97,1222.41
10,536,2194.42,53.6,219.44,4.09,1615.13
11,1126,1593.03,102.36,144.82,1.41,2143.74
10,314,1098.8,31.4,109.88,3.5,1539.1
1,9,2246.28,9,2246.28,249.59,1120.22
11,706,1508.23,64.18,137.11,2.14,2030.59
10,976,2166.02,97.6,216.6,2.22,1775.03
5,1028,653.19,205.6,130.64,0.64,1313.95
8,1166,99.47,145.75,12.43,0.09,1149.07
12,882,1958.14,73.5,163.18,2.22,1944.88
11,448,732.79,40.73,66.62,1.64,1090.35
7,623,1691.39,89,241.63,2.71,1800.86
3,127,293.49,42.33,97.83,2.31,303.2
12,218,486.02,18.17,40.5,2.23,1005.67
3,1166,530.44,388.67,176.81,0.45,785.59
11,17,550.58,1.55,50.05,32.39,830.07
9,696,1749.97,77.33,194.44,2.51,1649.49
4,305,125.79,76.25,31.45,0.41,664.43
12,104,1300.05,8.67,108.34,12.5,1779.92
1,303,931.53,303,931.53,3.07,857.42
8,1012,2390.84,126.5,298.86,2.36,1732.12
9,938,2224.29,104.22,247.14,2.37,1913.87
3,471,288.19,157,96.06,0.61,535.67
5,72,977.67,14.4,195.53,13.58,1156.55
10,160,2272.56,16,227.26,14.2,1642.15
10,965,1851.28,96.5,185.13,1.92,1805.77
3,266,2178.16,88.67,726.05,8.19,1447.95
12,734,2491.82,61.17,207.65,3.39,1792.31
12,64,1641.01,5.33,136.75,25.64,1710.72
9,497,1845.08,55.22,205.01,3.71,1674.09
3,781,1801.38,260.33,600.46,2.31,1586.21
3,158,1070.74,52.67,356.91,6.78,1183.16
3,1096,200.27,365.33,66.76,0.18,802.96
11,1116,2067.8,101.45,187.98,1.85,1987.44
10,831,39.86,83.1,3.99,0.05,982.64
14,124,1064.64,8.86,76.05,8.59,1761.68
4,10,1262.73,2.5,315.68,126.27,1261.41
5,955,106.86,191,21.37,0.11,897.78
7,1176,2489.13,168,355.59,2.12,1921.16
6,803,465.6,133.83,77.6,0.58,1012
9,868,62.12,96.44,6.9,0.07,1022.81
1,181,128.05,181,128.05,0.71,225.12
3,70,631.88,23.33,210.63,9.03,564.16
8,1090,419.76,136.25,52.47,0.39,1189.47
14,1184,2269.89,84.57,162.14,1.92,1943.24
1,735,1676.9,735,1676.9,2.28,1365.21
2,547,119.09,273.5,59.55,0.22,509.52
11,265,218.66,24.09,19.88,0.83,949.34
10,223,886.32,22.3,88.63,3.97,1305.54
12,959,1947.82,79.92,162.32,2.03,1833.24
11,498,1578.39,45.27,143.49,3.17,1793.52
14,127,988.4,9.07,70.6,7.78,1688.9
3,621,214.08,207,71.36,0.34,779.66
6,1193,2241.5,198.83,373.58,1.88,1839.47
4,448,2055.97,112,513.99,4.59,1497.46
8,466,2064.63,58.25,258.08,4.43,1558.12
12,229,1216.16,19.08,101.35,5.31,1696.65
13,658,559.48,50.62,43.04,0.85,1573.12
13,1034,2477.98,79.54,190.61,2.4,1842.24
4,842,2464.29,210.5,616.07,2.93,1611.66
13,837,1218.93,64.38,93.76,1.46,1921.68
11,927,1306.37,84.27,118.76,1.41,1804.68
4,1047,1657.68,261.75,414.42,1.58,1605.84
4,262,1681.28,65.5,420.32,6.42,1435.34
7,1126,1103.75,160.86,157.68,0.98,2014.72
5,781,672.91,156.2,134.58,0.86,1125.36
5,831,591.65,166.2,118.33,0.71,1090.31
7,1089,1026.25,155.57,146.61,0.94,2132.85
1,793,2171.07,793,2171.07,2.74,1421.36
9,368,495.12,40.89,55.01,1.35,847.33
6,818,1130.38,136.33,188.4,1.38,1704.06
11,667,1915.95,60.64,174.18,2.87,1732.2
2,267,2116.93,133.5,1058.47,7.93,1349.04
10,1083,2105.36,108.3,210.54,1.94,1844.58
13,529,1767.79,40.69,135.98,3.34,2015.18
9,1155,1346.4,128.33,149.6,1.17,2248.12
7,1185,1768.01,169.29,252.57,1.49,2072.18
5,763,1420.94,152.6,284.19,1.86,1777.14
7,368,1231.69,52.57,175.96,3.35,1550.04
6,659,322.1,109.83,53.68,0.49,972.58
14,1138,518.18,81.29,37.01,0.46,1696.86
6,172,1977.78,28.67,329.63,11.5,1603.89
6,628,311.47,104.67,51.91,0.5,903.3
2,500,1246.48,250,623.24,2.49,1264.53
8,7,2075.6,0.88,259.45,296.51,1422.12
5,942,2092.87,188.4,418.57,2.22,1696.72
12,81,2485.34,6.75,207.11,30.68,1589.65
4,166,791.52,41.5,197.88,4.77,866.18
3,213,1724.85,71,574.95,8.1,1344.71
11,1004,167.15,91.27,15.2,0.17,1175.65
5,116,478.1,23.2,95.62,4.12,624.04
13,112,2299.56,8.62,176.89,20.53,1807.67
1,43,2149.22,43,2149.22,49.98,1134.47
2,660,1944.4,330,972.2,2.95,1531.2
10,888,298.68,88.8,29.87,0.34,1171.54
10,860,2380.76,86,238.08,2.77,1759.97
10,1187,1981.09,118.7,198.11,1.67,2013.21
12,1139,124.65,94.92,10.39,0.11,1314.3
5,966,359.51,193.2,71.9,0.37,927.98
10,796,1352.08,79.6,135.21,1.7,2000.19
9,72,1281.32,8,142.37,17.8,1515.54
10,215,2440.91,21.5,244.09,11.35,1638.66
7,671,1297.02,95.86,185.29,1.93,1703.2
5,230,333.69,46,66.74,1.45,538.36
5,467,1243.31,93.4,248.66,2.66,1549.82
13,247,2339.61,19,179.97,9.47,1705.9
14,777,1248.61,55.5,89.19,1.61,1837.25
11,740,1171.99,67.27,106.54,1.58,902.09
6,884,1798.31,147.33,299.72,2.03,1897.87
5,789,1853.31,157.8,370.66,2.35,1792.88
4,825,874.99,206.25,218.75,1.06,784.52
2,301,769.23,150.5,384.62,2.56,731.28
12,1007,1353.77,83.92,112.81,1.34,1925.32
5,865,644.79,173,128.96,0.75,1202.46
14,81,1251.97,5.79,89.43,15.46,1682.62
8,1159,2175.27,144.88,271.91,1.88,1752.18
11,496,373.98,45.09,34,0.75,1152.99
1,752,1632.35,752,1632.35,2.17,1362.39
5,1014,1853.57,202.8,370.71,1.83,1749.31
9,686,145.66,76.22,16.18,0.21,972.95
5,654,1272.89,130.8,254.58,1.95,1724.68
8,621,2391.34,77.63,298.92,3.85,1593.12
9,1080,539.51,120,59.95,0.5,1306.91
10,714,269.06,71.4,26.91,0.38,1067.81
10,816,1425.64,81.6,142.56,1.75,1872.81
14,1122,1766.25,80.14,126.16,1.57,2239.35
4,1202,1074.87,300.5,268.72,0.89,1501.24
5,651,1573.3,130.2,314.66,2.42,1682.08
14,1100,237.69,78.57,16.98,0.22,1265.57
14,296,485.68,21.14,34.69,1.64,924.9
1,697,2148.5,697,2148.5,3.08,1421.07
6,1044,47.46,174,7.91,0.05,1133.45
12,398,2481.44,33.17,206.79,6.23,1755.18
3,139,2428.89,46.33,809.63,17.47,1345.66
6,84,852.7,14,142.12,10.15,1109.32
2,423,1639.17,211.5,819.59,3.88,1367.64
11,815,2385.6,74.09,216.87,2.93,1872.44
6,577,897.74,96.17,149.62,1.56,1257.31
8,200,1508.89,25,188.61,7.54,1461.33
9,1102,540.6,122.44,60.07,0.49,1455.85
12,508,1970.54,42.33,164.21,3.88,1770.91
13,1024,1712.85,78.77,131.76,1.67,2097.69
7,1161,1499.97,165.86,214.28,1.29,1862.45
2,730,285.24,365,142.62,0.39,624.78
13,996,1809.2,76.62,139.17,1.82,1956.89
5,1160,1901.83,232,380.37,1.64,1673.89
2,1139,306.43,569.5,153.22,0.27,726.14
14,191,2442.76,13.64,174.48,12.79,1798.47
7,776,2447.82,110.86,349.69,3.15,1826.93
14,414,1919.7,29.57,137.12,4.64,1918.89
7,847,1994.62,121,284.95,2.35,1851.7
6,924,1227.21,154,204.54,1.33,1871.76
2,933,1589.58,466.5,794.79,1.7,1489.99
1,211,958.08,211,958.08,4.54,891.9
10,773,865.92,77.3,86.59,1.12,1837.11
3,196,1211.68,65.33,403.89,6.18,1229.87
14,49,954.02,3.5,68.14,19.47,1480.87
5,477,655.24,95.4,131.05,1.37,935.38
5,828,1606.84,165.6,321.37,1.94,1690.82
11,458,1364.29,41.64,124.03,2.98,1649.04
3,289,1245.67,96.33,415.22,4.31,1279.31
1,1060,501.67,1060,501.67,0.47,658.14
5,1085,2486.43,217,497.29,2.29,1664.83
4,675,381.48,168.75,95.37,0.57,779.68
8,415,1214.97,51.88,151.87,2.93,1473.75
6,425,709.75,70.83,118.29,1.67,1114.9
7,313,2408.02,44.71,344,7.69,1637.65
13,235,426.07,18.08,32.77,1.81,897.26
7,635,1406.31,90.71,200.9,2.21,1630.66
10,1009,2164.22,100.9,216.42,2.14,1889.87
3,692,450.7,230.67,150.23,0.65,748.57
2,91,1073.76,45.5,536.88,11.8,1013.78
8,1187,1045.91,148.38,130.74,0.88,2047.06
14,600,1120.05,42.86,80,1.87,1847.84
5,210,710.49,42,142.1,3.38,483.34
12,10,1203.1,0.83,100.26,120.31,1564.9
1,452,275.05,452,275.05,0.61,282.89
4,256,2218.74,64,554.69,8.67,1476.03
8,312,2383.17,39,297.9,7.64,1557.27
2,1175,816.2,587.5,408.1,0.69,1237.62
11,960,383.64,87.27,34.88,0.4,1248.46
6,690,1009.37,115,168.23,1.46,1559.83
14,487,579.29,34.79,41.38,1.19,1516.68
8,75,315.71,9.38,39.46,4.21,593.83
13,360,271.93,27.69,20.92,0.76,1017.64
11,708,1871.77,64.36,170.16,2.64,1916.37
3,182,347.82,60.67,115.94,1.91,384.77
10,683,2442.92,68.3,244.29,3.58,1643.68
5,392,1264.6,78.4,252.92,3.23,1465.72
10,175,1443.25,17.5,144.33,8.25,1635.5
7,577,1959.13,82.43,279.88,3.4,1603.6
13,799,951.92,61.46,73.22,1.19,1793.36
13,608,370.89,46.77,28.53,0.61,1170.54
7,194,202.49,27.71,28.93,1.04,686.23
13,889,232.72,68.38,17.9,0.26,1394.38
7,901,136.8,128.71,19.54,0.15,1222.6
1,698,1525.82,698,1525.82,2.19,1398.75
9,592,793.55,65.78,88.17,1.34,1235.69
14,1015,871.76,72.5,62.27,0.86,1846.41
9,524,136.46,58.22,15.16,0.26,848.89
5,781,2114.27,156.2,422.85,2.71,1789.85
3,200,58.24,66.67,19.41,0.29,494.63
5,503,2335.55,100.6,467.11,4.64,1649.42
11,667,2221.67,60.64,201.97,3.33,1872.89
7,336,1843.58,48,263.37,5.49,1691.68
4,217,1506.46,54.25,376.62,6.94,1455.37
8,207,1146.93,25.88,143.37,5.54,1479.01
7,690,1807.71,98.57,258.24,2.62,1710.98
2,251,1916.43,125.5,958.22,7.64,1285.2
4,627,956.98,156.75,239.25,1.53,1337.63
1,432,581.71,432,581.71,1.35,448.34
4,1194,2250.51,298.5,562.63,1.88,1691.15
10,64,455.9,6.4,45.59,7.12,774.64
8,15,377.85,1.88,47.23,25.19,657.8
11,741,1207.39,67.36,109.76,1.63,1878.06
8,638,1007.48,79.75,125.94,1.58,1483.06
12,965,1700.28,80.42,141.69,1.76,1879.09
8,1182,990.07,147.75,123.76,0.84,1840.75
13,1062,869.28,81.69,66.87,0.82,2090.54
1,754,1220.47,754,1220.47,1.62,1346.14
14,767,186.47,54.79,13.32,0.24,1292.77
11,775,1752.23,70.45,159.29,2.26,1809.29
8,592,1402.98,74,175.37,2.37,1561.41
6,957,727.75,159.5,121.29,0.76,1448.72
9,800,2167.72,88.89,240.86,2.71,1726.51
6,1198,222.6,199.67,37.1,0.19,1107.96
3,1092,1737.65,364,579.22,1.59,1462.01
12,958,2499.84,79.83,208.32,2.61,1791.69
11,955,1282.19,86.82,116.56,1.34,2000.42
11,605,1880.69,55,170.97,3.11,1711.55
7,670,1558.02,95.71,222.57,2.33,1702.81
11,844,1962.77,76.73,178.43,2.33,1787.57
3,718,1158.02,239.33,386.01,1.61,1416.98
6,323,1477.23,53.83,246.21,4.57,1608.55
14,616,2374.41,44,169.6,3.85,1828.37
8,752,1519.78,94,189.97,2.02,1662.92
1,1166,1423.69,1166,1423.69,1.22,1412.13
3,1187,1632.14,395.67,544.05,1.38,1451.85
3,1013,166.52,337.67,55.51,0.16,711.07
5,741,429.24,148.2,85.85,0.58,951.92
14,467,2176.26,33.36,155.45,4.66,1809.83
3,224,358.77,74.67,119.59,1.6,406.36
3,712,512.23,237.33,170.74,0.72,751.16
12,218,901.03,18.17,75.09,4.13,1371.86
6,373,587.38,62.17,97.9,1.57,956.61
8,562,2479.33,70.25,309.92,4.41,1478.31
5,132,2387.03,26.4,477.41,18.08,1454.05
3,98,871.46,32.67,290.49,8.89,866.05
14,545,1206.76,38.93,86.2,2.21,1977.89
1,869,1498.88,869,1498.88,1.72,1398.94
2,875,393.25,437.5,196.63,0.45,640.56
8,888,2296.07,111,287.01,2.59,1718.71
1,716,1396.41,716,1396.41,1.95,1376.59
8,1025,1031.33,128.13,128.92,1.01,2214.64
9,1064,2016.76,118.22,224.08,1.9,1810.94
4,463,1963.41,115.75,490.85,4.24,1607.34
1,678,1478.57,678,1478.57,2.18,1370.31
1,436,1358.14,436,1358.14,3.12,1154.03
5,586,2135.36,117.2,427.07,3.64,1661.61
1,797,126.8,797,126.8,0.16,543.18
14,481,939.99,34.36,67.14,1.95,877.17
7,172,1486.86,24.57,212.41,8.64,1557.94
10,1192,23.47,119.2,2.35,0.02,1157.87
7,981,658.85,140.14,94.12,0.67,1351.69
10,692,1671.71,69.2,167.17,2.42,1701.23
13,710,2223.86,54.62,171.07,3.13,1979.83
12,380,1526.79,31.67,127.23,4.02,1787.41
3,133,1728.5,44.33,576.17,13,1373.4
4,730,799.25,182.5,199.81,1.09,1250.66
12,1070,1055.51,89.17,87.96,0.99,2030.76
8,1185,554.98,148.13,69.37,0.47,1545.67
11,456,2223.72,41.45,202.16,4.88,1600.1
12,85,1056.43,7.08,88.04,12.43,1466.31
2,543,103.37,271.5,51.69,0.19,544.12
6,367,1947.68,61.17,324.61,5.31,1606.76
1,481,1792.17,481,1792.17,3.73,1215.84
5,233,1862.04,46.6,372.41,7.99,1562.23
1,45,1070.22,45,1070.22,23.78,922.69
5,152,2444.81,30.4,488.96,16.08,1523.75
7,344,1242.05,49.14,177.44,3.61,1514.4
5,320,1584.55,64,316.91,4.95,1584.73
9,989,378.12,109.89,42.01,0.38,1193.72
10,57,936.89,5.7,93.69,16.44,1237.07
12,342,2253.61,28.5,187.8,6.59,1659.5
2,983,2109.93,491.5,1054.97,2.15,1519.98
10,886,1990.03,88.6,199,2.25,1749.93
10,5,836.86,0.5,83.69,167.37,1116.56
3,80,517.54,26.67,172.51,6.47,457.49
8,482,1411.49,60.25,176.44,2.93,631.81
4,11,312.01,2.75,78,28.36,426.22
12,1075,2328.11,89.58,194.01,2.17,1798.38
13,632,268.91,48.62,20.69,0.43,1396.28
8,323,46.48,40.38,5.81,0.14,703.45
11,527,1550.32,47.91,140.94,2.94,1806.06
